"","area_rural","area_suburban","area_urban","marital_divorced","marital_married","marital_never_married","marital_separated","marital_widowed","gender_female","gender_male","gender_nonbinary","techie_no","techie_yes","contract_month_to_month","contract_one_year","contract_two_year","port_modem_no","port_modem_yes","tablet_no","tablet_yes","internet_service_dsl","internet_service_fiber_optic","internet_service_none","phone_no","phone_yes","multiple_no","multiple_yes","online_security_no","online_security_yes","online_backup_no","online_backup_yes","device_protection_no","device_protection_yes","tech_support_no","tech_support_yes","streaming_tv_no","streaming_tv_yes","streaming_movies_no","streaming_movies_yes","paperless_billing_no","paperless_billing_yes","payment_method_bank_transfer_automatic","payment_method_credit_card_automatic","payment_method_electronic_check","payment_method_mailed_check","zip","children","age","income","outage_sec_perweek","email","contacts","yearly_equip_failure","tenure","monthly_charge","bandwidth_gb_year","item1","item2","item3","item4","item5","item6","item7","item8","churn"
"12",0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.544259929265417,0.375,0.295774647887324,0.717297386413887,0.545191715855495,0.555555555555556,0.333333333333333,0,0.181210764809778,0.464702519406091,0.240524567682321,0.4,0.4,0.4,0.2,0.6,0.4,0.8,0.2,"Yes"
"13",0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0.958839790235375,0,0.633802816901408,0.253165700206579,0.699051072873486,0.555555555555556,0.333333333333333,0,0.208144476245488,0.547086178954453,0.27341713431225,0.4,0.6,0.6,0.4,0.8,0.6,0.6,0.4,"Yes"
"14",1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.278121061831782,0.25,0.591549295774648,0.354102556162075,0.490563227659853,0.722222222222222,1,0,0.0182863911681995,0.583800032618466,0.103747339381166,0.2,0.2,0.6,0.4,0.4,0.6,0.4,0.4,"Yes"
"15",1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0.376590511809423,0.375,0.605633802816901,0.314639337503516,0.476079578768408,0.444444444444444,0.333333333333333,0,0.226847513801696,0.344996389526257,0.239536805581001,0.4,0.6,0.4,0.6,0.4,0.2,0.4,0.8,"No"
"16",1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0.347239725192081,0.375,0.0704225352112676,0.15480783201779,0.552194128017871,0.388888888888889,0.333333333333333,0,0.16622566969437,0.332882714986428,0.256811674441445,0.8,0.8,0.8,0.6,0.6,0.6,0.4,0.4,"Yes"
"17",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0.428980852880198,0.375,0.169014084507042,0.366810393864053,0.329815652783254,0.833333333333333,0.333333333333333,0,0.0198732918176274,0.226075523590535,0.0626258713957373,0.8,0.8,0.6,0.6,0.4,0.6,0.4,0.8,"No"
"18",0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0.503648522297654,0.375,0.47887323943662,0.219066478552138,0.46468686188134,0.722222222222222,0.333333333333333,0.5,0.0795444825220593,0.214031350866514,0.0796114227168928,0.4,0.4,0.4,0.2,0.2,0.4,0.8,0.8,"No"
"19",0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0.0374913614374568,0.25,0.704225352112676,0.641601233153318,0.336828871220732,0.333333333333333,0,0,0.106186364892805,0.332900071409214,0.112783096797278,0.6,0.6,0.4,0.8,0.4,0.6,0.6,0.4,"No"
"20",1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0.448910524818082,0.375,0.802816901408451,0.22778511637181,0.711754138237597,0.666666666666667,0.333333333333333,0,0.0671222137432795,0.392675115707939,0.102128912300454,0.4,0.4,0.6,0.2,0.6,0.6,0.4,0.6,"Yes"
"21",0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0.315876661652913,0.125,0.830985915492958,0.098726653089841,0.486977138108721,0.5,0.333333333333333,0,0.0444058233311983,0.0593595416237254,0.0883542824708978,0.6,0.6,0.6,0.6,0.2,0.6,0.8,0.8,"Yes"
"22",1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0.877271433798122,0.125,0.408450704225352,0.0680288071057678,0.831189267436135,0.666666666666667,0,0.5,0.132413071601817,0.678799413606024,0.192895647924368,0.8,0.4,0.8,0.4,0.4,0.8,0.6,0.6,"Yes"
"23",0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.478962559453636,0,0.732394366197183,0.351999568551583,0.767573338783552,0.5,0,0,0.00545562493745966,0.285480406965675,0.0376304852882481,0.2,0.2,0.4,0.6,0.6,0.2,0.2,0.2,"Yes"
"24",0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0.0473088336924265,0.375,0.028169014084507,0.0819384097681345,0.69412266911934,0.555555555555556,0.666666666666667,0,0.00599038361963663,0.571664962291007,0.157623009624327,0.4,0.6,0.4,0.4,0.2,0.6,0.6,0.2,"Yes"
"25",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0.202213504614009,0.5,0.71830985915493,0.267586313738196,0.534983367532742,0.833333333333333,0.333333333333333,0,0.0622693456432257,0.845328190757211,0.226975791752684,0.6,0.6,0.6,0.4,0.2,0.8,0.8,0.6,"Yes"
"26",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0.432446440912232,0,0.309859154929577,0.173397712078203,0.186671258107135,0.555555555555556,0.666666666666667,0,0.0363562351086376,0.321200591151767,0.0481147489341513,0.2,0.4,0.6,0.4,0.4,0.2,0.6,0.4,"No"
"27",1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0.991574860766698,0.75,0.901408450704225,0.417313468702161,0.430896206706367,0.333333333333333,0,0,0.052430842566579,0.714269409334812,0.122580072585795,0.6,0.6,0.6,0.8,0.2,0.8,0.4,0.8,"Yes"
"28",1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0.496747835277857,0.625,0.788732394366197,0.206938622015529,0.56400341301323,0.277777777777778,0.333333333333333,0.5,0.280221998210107,0.45189149063263,0.360571791122788,0.8,0.8,0.6,0.4,0.8,0.4,0.6,0,"Yes"
"29",0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0.608927192162283,0.5,0.71830985915493,0.0878333891106009,0.248263922314275,0.666666666666667,0.333333333333333,0,0.0347384264027517,0.892969848986609,0.132264007745068,1,0.8,0.8,0.8,0.2,1,0.8,0.8,"Yes"
"30",0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0.490050408553193,0.125,0.47887323943662,0.0641562826481974,0.714908124692846,0.444444444444444,0,0.5,0.0630119885326932,0.392538752650512,0.150561611346337,0.6,0.2,0.4,0.6,0.4,0.4,0.6,0.4,"Yes"
"31",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0.0553071263059474,0.25,0.112676056338028,0.0789652482692135,0.856465319744231,0.722222222222222,0.333333333333333,0.5,0.0325081286808653,0.713736612830053,0.105959572809402,0.6,0.4,0.8,0.8,0.2,0.6,0.8,0.8,"Yes"
"32",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0.0695455099800805,0.125,0.0985915492957746,0.290116233141594,0.468871082311596,0.333333333333333,0.666666666666667,0,0.0867177826953017,0.285574149728331,0.16926218377015,0.8,1,0.6,0.2,0.8,0.4,0.4,0.4,"No"
"33",0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0.193219236554331,0.125,0.676056338028169,0.202534710938859,0.886444397996853,0.5,0.333333333333333,0,0.124551897947234,0.499500629358259,0.136858772179739,0.6,0.6,0.4,0.6,0.2,0.6,0.6,0.8,"No"
"34",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0.182039920321964,0.125,0.76056338028169,0.404182349053898,0.385619623758692,0.388888888888889,0.333333333333333,0.5,0.211804950873717,0.321127049971116,0.196274136977923,0.4,0.6,0.4,1,0.6,0.6,1,0.2,"No"
"35",0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.0785905931135412,0.375,0.0422535211267606,0.306143215809189,0.5808046768571,0.5,0.333333333333333,0,0.115145722404046,0.439995770513816,0.164865403912647,0.8,0.2,0.4,0.4,0.4,0.8,0.6,0.6,"No"
"36",0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0.159325582340746,0.375,0.52112676056338,0.424806812421736,0.390613923336474,0.722222222222222,0.666666666666667,0,0.0281394933578777,0.130854148817119,0.105289131146671,0.4,0.4,0.2,0.4,0.8,0.6,0.4,0.4,"No"
"37",0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0.736340908166999,0.5,0.323943661971831,0.0942350939463566,0.643985509857325,0.444444444444444,0.333333333333333,1,0.0411181679888784,0.833388318334817,0.138513417238911,0.4,0.4,0.4,0.8,0,0.6,0.4,0.6,"Yes"
"38",0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0.14983332655799,0.5,0.197183098591549,0.191968267518718,0.401581050225861,0.555555555555556,0,0,0.247266653112503,0.535146306532059,0.26575426703335,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.6,"No"
"39",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0.0917720232529778,0,0.0563380281690141,0.11958026278734,0.678362386170299,0.166666666666667,0,0,0.10977366244803,0.773872335774234,0.179515187442578,0.6,0.6,0.6,0.6,0.4,0.6,0.4,0.6,"Yes"
"40",0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0.496727509248343,0.25,0.366197183098592,0.437510283891603,0.53305112223268,0.111111111111111,0.333333333333333,0,0.132014519050126,0.785968653891277,0.222058763290575,0.4,0.4,0.2,0.2,0.6,0.4,0.8,0.2,"Yes"
"41",0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0.98799747957234,0.375,0.352112676056338,0.299244245649717,0.485981531415885,0.444444444444444,0.333333333333333,0,0.118630041976964,0.547276109984511,0.151129757460229,0.6,0.8,0.4,0.6,0.4,0.4,0.6,0.4,"Yes"
"42",1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0.37004553030611,0.125,0.957746478873239,0.211725791244136,0.379730610110141,0.444444444444444,0.666666666666667,1,0.0951512707464905,0.118868725300491,0.083459143157254,0.4,0.6,0.4,0.2,0.4,0.4,0.4,0.4,"No"
"43",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0.582706614090004,0.25,0.929577464788732,0.615171055632832,0.637650611336779,0.611111111111111,0,0.5,0.148804887741778,0.0595159873183736,0.10601378888214,0.4,0.4,0.6,0.4,0.8,0.4,0.4,0.6,"No"
"44",0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0.346223423716411,0.25,0.619718309859155,0.0348789175107981,0.441204046166321,0.555555555555556,1,0,0.0329422376703126,0.499572010501644,0.124349766391661,0.2,0.2,0.4,0.6,0.4,0.8,0.2,0.6,"Yes"
"45",0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0.267155168909305,0.625,0.704225352112676,0.351499311550309,0.387996347250179,0.5,0.333333333333333,0,0.0892152833916968,0.512305425425073,0.154028912456251,0.2,0.4,0.4,0.8,0.6,0.2,0.4,0.2,"Yes"
"46",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0.714266840115452,0.125,0.577464788732394,0.307600081923451,0.173127188704719,0.277777777777778,0,0,0.0631239135024259,0.332965619500424,0.0816546763984713,0.6,0.6,0.6,0.4,0.6,0.2,0.8,0.6,"No"
"47",0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0.503536729135331,0,0.183098591549296,0.354060430107822,0.564457366814605,0.166666666666667,0,0,0.00771441040459431,0.428038541668634,0.0424596994272918,0.6,0.6,0.4,0.6,0.6,0.6,0.2,0.4,"Yes"
"48",0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0.68959104028619,0,0.464788732394366,0.113327818404849,0.445734567034587,0.444444444444444,0.666666666666667,0,0.155993066952422,0.380729976410538,0.162943090153371,0.6,0.2,0.6,0.8,0.6,0.4,0.4,0.6,"Yes"
"49",0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0.241839099150372,0.125,0.563380281690141,0.501399013538796,0.551826298669211,0.444444444444444,0.333333333333333,0.5,0.182853847898735,0.237809792818218,0.240612210176396,0.4,0.6,0.4,1,0.4,0.6,0.8,0.4,"No"
"50",0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0.777531606975893,0.125,0.774647887323944,0.665334453783959,0.409039085818019,0.444444444444444,0,0.5,0.120548747505711,0.166389692637117,0.166891924943207,0.8,0.6,0.4,0.8,0.4,0.4,0.8,0.6,"Yes"
"51",0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0.532521647221432,0.125,0.563380281690141,0.114977688149634,0.512530347715759,0.666666666666667,0.666666666666667,0,0.207279071173388,0.666894330153865,0.244643888556779,0.4,0.8,0.4,0.2,0.6,0.8,0.8,0.6,"Yes"
"52",1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0.304951420789463,0,0.436619718309859,0.233341065876497,0.411175765493902,0.333333333333333,0.333333333333333,0,0.087732569682899,0.214096898957724,0.0744210848118993,0.8,0.8,0.4,0.6,0.6,0.8,0.8,0.6,"No"
"53",0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0.746473433879426,0.125,0.112676056338028,0.444470785581376,0.40896321288598,0.5,0.333333333333333,0,0.0262826212251551,0.404344802676052,0.133003061734206,0.8,0.8,0.6,0.6,0.4,0.6,0.6,0.6,"No"
"54",0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0.617189723159478,0.125,0.0985915492957746,0.658838713245523,0.475583649377131,0.388888888888889,1,0,0.0188715674649143,0.547136054881009,0.0784249733586448,0.4,0.6,0.4,0.2,0.4,0.6,0.2,0.6,"No"
"55",1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0.179001178909712,0,0.338028169014085,0.806362052979699,0.544911039934977,0.611111111111111,1,0,0.097971222963416,0.34482882011547,0.180044622629801,0.8,0.8,0.8,0.6,0.4,0.2,0.6,0.6,"Yes"
"56",1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0.863043213138745,0.125,0.887323943661972,0.56289609911929,0.278827439408765,0.666666666666667,0,0,0.158400558519054,0.0595815354095837,0.134282473203003,0.8,0.8,0.8,0.4,0.6,0.4,0.2,0.8,"No"
"57",0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0.272368795479491,0.125,0.352112676056338,0.279236876420188,0.700621545774102,0.555555555555556,0,0,0.12155704263685,0.226042038255126,0.132520438452308,0.6,0.6,0.6,0.4,0.6,0.6,0.4,0.4,"No"
"58",0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0.957762510671165,0.25,0.633802816901408,0.366161361546416,0.470190029566948,0.611111111111111,0.333333333333333,0,0.097352057343408,0.499494396651611,0.202061784976889,0.4,0.6,0.4,0.4,0.6,0.6,0.6,0.4,"No"
"59",0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0.600481726899467,0.375,0.732394366197183,0.0858373741868196,0.285209732469777,0.444444444444444,0,0.5,0.0488230212151487,0.880991224353798,0.121642307665766,0.4,0.4,0.2,0.6,0.6,0.4,0.4,0.4,"Yes"
"60",0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0.796363673320054,0,0.422535211267606,0.42278007216088,0.381724372327812,0.777777777777778,0,0.5,0.158277811689793,0.344861339619238,0.23605765478187,0.4,0,0.2,0.2,0.8,0.2,0.2,0,"No"
"61",0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0.830430098784503,0.125,0.633802816901408,0.151196634637659,0.572071987730908,0.833333333333333,0.666666666666667,0.5,0.0168852645462073,0.571664962291007,0.137750871196993,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.4,"Yes"
"62",1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0.438310500426847,0,0.971830985915493,0.627833533034548,0.385412963757588,0.777777777777778,0,0,0.038398568074091,0.83328401803319,0.158861168713752,0.4,0.4,0.6,0.8,0.6,0.4,0.8,0.6,"Yes"
"63",0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0.436013659091833,0.375,0.507042253521127,0.381306527039954,0.182037414947161,0.333333333333333,0,0,0.0982462472837209,0.261545519319323,0.095262775894047,0.2,0.4,0.4,0.4,0.8,0.2,0.2,0.4,"No"
